Unique Identifier,"Job 
Code",Location,"London/
National",Job Title,Contract Type, Weekly Hours,Hourly Rate,Hourly Geo,Basic + Geo,4 weekly pay for OHR,4 weekly Geo for OHR,Weekly Geo for OHR,Annual Salary (hrs x 52 x rate),"Annual Geo 
(hrs x 52 x rate)",Annual Salary with Geo,Non-consolidated,Prem 1,"Prem 2 
(bank hol premium)","Prem 2 
(6th shift)",Shift 1,Shift 2,Kronos Rules/Pay Code,OSP Scheme (Dependent on amount of days worked),Holiday Scheme,Comments,Rate To Be Included?,Job Type Match,Parity Status,Standard Net Pay,Friday Net Pay,Saturday Net Pay,Sunday Net Pay,Overtime 1 Net Pay,Overtime 2 Net Pay,Standard Combined,Friday Combined,Saturday Combined,Sunday Combined,Overtime ,
BarnsleyInduction,,Barnsley,National,Induction,,37.5,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 , n/a ,,£12.21,£12.21,£12.21,£12.21, n/a ,
BarnsleyWarehouse Operative AM,,Barnsley,,Warehouse Operative AM,,37.5,£9.85,£0.15,£10.00,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 , £ 12.21 , £ 12.49 , £ 12.49 ,,,£12.21,£12.21,£12.49,£12.49, n/a ,
BarnsleyWarehouse Operative AM Parity,,Barnsley,,Warehouse Operative AM Parity,,37.5,£10.25,£0.25,£10.50,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 12.28 , £ 12.28 , £ 12.57 , £ 12.57 ,,,£12.28,£12.28,£12.57,£12.57, n/a ,
BarnsleyWarehouse Operative PM,,Barnsley,,Warehouse Operative PM,,37.5,£10.18,£0.13,£10.31,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.32 , £ 12.32 , £ 12.75 , £ 12.75 ,,,£12.32,£12.32,£12.75,£12.75, n/a ,
BarnsleyWarehouse Operative PM Parity,,Barnsley,,Warehouse Operative PM Parity,,37.5,£10.81,£0.00,£10.81,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 12.63 , £ 12.63 , £ 13.06 , £ 13.06 ,,,£12.63,£12.63,£13.06,£13.06, n/a ,
BarnsleyWarehouse Operative Night,,Barnsley,,Warehouse Operative Night,,37.5,£10.41,£1.09,£11.50,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.57 , £ 12.57 , £ 12.96 , £ 12.96 ,,,£12.57,£12.57,£12.96,£12.96, n/a ,
BarnsleyWarehouse Operative Night Parity,,Barnsley,,Warehouse Operative Night Parity,,37.5,£11.50,£0.50,£12.00,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 13.25 , £ 13.25 , £ 13.64 , £ 13.64 ,,,£13.25,£13.25,£13.64,£13.64, n/a ,
BarnsleyWarehouse Operative Twilight,,Barnsley,,Warehouse Operative Twilight,,,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 13.20 , £ 13.20 , £ 13.20 , £ 13.20 ,,,£13.20,£13.20,£13.20,£13.20, n/a ,
BarnsleyWarehouse Operative Twilight Parity,,Barnsley,,Warehouse Operative Twilight Parity,,,,,,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 13.20 , £ 13.20 , £ 13.20 , £ 13.20 ,,,£13.20,£13.20,£13.20,£13.20, n/a ,
NuneatonWarehouse Operative AM,,Nuneaton,,Warehouse Operative AM,,35,£10.25 ,,10.25,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
NuneatonWarehouse Operative AM Parity,,Nuneaton,,Warehouse Operative AM Parity,,35,£10.81 ,,10.81,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
NuneatonWarehouse Operative Night,,Nuneaton,,Warehouse Operative Night,,35,£9.75 ,,£9.75 ,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
NuneatonWarehouse Operative PM,,Nuneaton,,Warehouse Operative PM,,35,£11.50 ,,£11.50 ,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
NuneatonWarehouse Operative PM Parity,,Nuneaton,,Warehouse Operative PM Parity,,35,£11.00 ,,£11.00 ,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 12.21 , £ 12.21 , £ 12.63 , £ 12.63 ,,,£12.21,£12.21,£12.63,£12.63, n/a ,
RugbyInduction,,Rugby,,Induction,,35,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 ,, £ 12.21 , £ 12.21 ,,,£12.21,n/a,£12.21,£12.21, n/a ,
RugbyWarehouse Operative AM,,Rugby,,Warehouse Operative AM,,35,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 , £ 12.21 , £ 12.49 , £ 12.49 ,,,£12.21,£12.21,£12.49,£12.49, n/a ,
RugbyWarehouse Operative AM Parity,,Rugby,,Warehouse Operative AM Parity,,35,£12.28,,£12.28,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 12.28 , £ 12.28 , £ 12.57 , £ 12.57 ,,,£12.28,£12.28,£12.57,£12.57, n/a ,
RugbyWarehouse Operative PM,,Rugby,,Warehouse Operative PM,,35,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.32 , £ 12.32 , £ 12.75 , £ 12.75 ,,,£12.32,£12.32,£12.75,£12.75, n/a ,
RugbyWarehouse Operative PM Parity,,Rugby,,Warehouse Operative PM Parity,,35,£12.63,,£12.63,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 12.63 , £ 12.63 , £ 13.06 , £ 13.06 ,,,£12.63,£12.63,£13.06,£13.06, n/a ,
RugbyWarehouse Operative Night,,Rugby,,Warehouse Operative Night,,35,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.57 , £ 12.57 , £ 12.96 , £ 12.96 ,,,£12.57,£12.57,£12.96,£12.96, n/a ,
