,Reference Tables,,,
,,,,
Position References,,,,
,Do not change the structure or position of this table,,,
,Table Type,Tab Name,Start Row,End Row
,Supplier List,Control Panel,15,30
,Location Table,Control Panel,35,68
,Job Types,Control Panel,73,76
,Net Pay Rate References,Control Panel,81,87
,Other Information References,Control Panel,92,95
,Areas Indicated,Reference Tables,19,32
,Regions Indicated,Reference Tables,37,39
,Job Types Matching,Reference Tables,44,90
,,,,
Areas Indicated,,,,
,,,,
,Area Name,Rate Card Being Created (Y/N),,
,Central,N,,
,East,N,,
,London North,N,,
,London South,N,,
,North,N,,
,NRC,N,,
,Nuneaton,N,,
,Barnsley,N,,
,Rugby,N,,
,South West,N,,
,Warrington,Y,,
,West Houghton,N,,
,Wednesbury,N,,
,West,N,,
,,,,
Regions Indicated,,,,
,,,,
,Region Name,Rate Card Being Created (Y/N),,
,North,N,,
,Central,N,,
,South,N,,
,,,,
Job Types Matching,,,,
,,,,
,Net Pay Rate Table Job,Job Type,,
,Cat C Day Driver,HGV Driver,,
,Cat C Driver Days & Nights,HGV Driver,,
,Cat C Night Driver,HGV Driver,,
,Cat C Night Driver 44,HGV Driver,,
,Cat C&E AM Driver,HGV Driver,,
,Cat C&E Day Driver 44,HGV Driver,,
,Cat C&E Night Driver,HGV Driver,,
,Cat C&E Night Driver 44,HGV Driver,,
,Cat C&E PM Driver,HGV Driver,,
,Cat C1 Day Driver,HGV Driver,,
,Cat C1 Day Driver 44,HGV Driver,,
,Cat C1 Days,HGV Driver,,
,Cat C1 Night Driver,HGV Driver,,
,Cat C1 Nights,HGV Driver,,
,Charge Hand Nights,Warehouse,,
,Class 2 Day ,HGV Driver,,
,Class 2 Night,HGV Driver,,
,Day Assessors,HGV Driver,,
,Day Loader,Warehouse,,
,Day Loader 44,Warehouse,,
,Driving Assessor Days,HGV Driver,,
,Driving Assessor Nights,HGV Driver,,
,Driving Trainer,HGV Driver,,
,Gatehouse Coordinator,Warehouse,,
,Gatehouse Coordinator,Warehouse Parity,,
,Night Assessors,HGV Driver,,
,Night Loader,Warehouse,,
,Night Loader 44,Warehouse,,
